"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "time_to_wifi"
"141" 40.3464 -74.6581 65.13 2.1875 3 25467.0720000267 5 0
"142" 40.3486 -74.6575 21.28 1.875 3 28046.8800001144 5 0
"143" 40.3494 -74.6528 338.17 1.0625 3 42804.9460000992 5 0
"144" 40.3497 -74.6519 25.26 1.3125 3 45453.2139999866 5 0
"145" 40.3496 -74.653 359.22 0.625 3 70468.743999958 3 0
"146" 40.3462 -74.6579 7.52 1.1875 3 3270.35400009155 5 0
"147" 40.3464 -74.658 0.27 0.4375 3 7830.39599990845 5 0
"148" 40.3463 -74.6581 0.33 0.25 3 18568.5959999561 5 0
"149" 40.3465 -74.6582 356.41 0.625 3 19352.0950000286 5 0
"150" 40.3498 -74.653 244.92 0.375 3 76891.7679998875 3 0
"151" 40.3463 -74.6581 38.65 0.4375 3 1410.20799994469 5 0
"152" 40.3463 -74.6582 37.43 2.4375 3 9387.09400010109 5 240
"153" 40.3464 -74.6581 33.71 0.4375 3 12871.5339999199 5 0
"154" 40.3463 -74.6581 22.23 1.1875 3 14371.9360001087 5 60
"155" 40.3464 -74.6581 4.39 0.75 3 18627.1809999943 5 0
"156" 40.3464 -74.6582 37.2 1.1875 3 19412.0460000038 5 0
"157" 40.3463 -74.6584 9.52 3.125 3 24390.5799999237 5 0
"158" 40.3464 -74.658 28.54 3.375 3 24807.2780001163 5 0
"159" 40.3488 -74.6526 348.44 0.9375 3 42211.0539999008 5 0
"160" 40.3495 -74.6531 359.66 0.625 3 70585.2460000515 3 0
"161" 40.3495 -74.6534 238.48 1.25 3 76946.3840000629 3 180
"162" 40.3465 -74.6582 56.8 0.6875 3 9511.18099999428 4 0
"163" 40.3463 -74.658 5.8 1.6875 3 3326.88899993896 5 0
"164" 40.3464 -74.658 3.32 0.6875 3 8966.9470000267 5 0
"165" 40.3462 -74.658 1.62 0.875 3 14007.1040000916 5 0
"166" 40.3463 -74.6581 3.42 2.25 3 14427.2090001106 5 0
"167" 40.3464 -74.6582 1.69 0.125 3 26967.6540000439 5 0
"168" 40.3488 -74.6527 283.73 1.0625 3 39987.3389999866 5 0
"169" 40.3488 -74.6527 1.66 1.0625 3 42265.1270000935 5 0
"170" 40.3491 -74.6544 229.17 1.25 3 77003.5130000114 3 120
"171" 40.3465 -74.6581 18.96 0.6875 3 9572.51999998093 4 0
"172" 40.347 -74.6565 252.24 2.5625 3 81086.5439999104 4 60
"173" 40.3463 -74.6581 357.68 0.5625 3 1108.29600000381 5 0
